AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,SOILMAPUNI,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10,longitude,latitude
0.022515,0.8,21,20,EE,EE0017,EE,17.0,EE17,EE,17.0,HSs1 [EE17],HSs,100.0,EE0017RR017,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.893307781018287,59.31904813822983
0.003093,0.31559,22,21,EE,EEns6,,,EEns6,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.237817753418955,59.37644562677866
0.004176,0.331446,23,22,EE,EEns6,,,EEns6,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14385044646623,59.35807347482769
0.068754,2.301991,24,23,EE,EE0018,EE,18.0,EE18,EE,18.0,HSf1 [EE18],HSf,100.0,EE0018RR018,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.603241151400137,59.19261970470682
0.002115,0.203934,25,24,EE,EE0022,EE,22.0,EE22,EE,22.0,RGc3GLk3LPk4 [EE22],RGc,40.0,EE0009R2048,GLk,40.0,EE0032R1611,LPk,20.0,EE0009R2020,,,,,,,,,,,,,,,,,,,,,,23.980724837376133,59.34114479984332
0.036262,1.273693,26,25,EE,EE0021,EE,21.0,EE21,EE,21.0,RGc2GLk4 [EE21],RGc,70.0,EE0012R1832,GLk,30.0,EE0032R1611,,,,,,,,,,,,,,,,,,,,,,,,,26.25669634270123,59.27499829386281
0.001956,0.238956,27,26,EE,EE0024,EE,24.0,EE24,EE,24.0,RGc2GLk4LPk4 [EE24],RGc,60.0,EE0009R2048,GLk,20.0,EE0032R1611,LPk,20.0,EE0009R2020,,,,,,,,,,,,,,,,,,,,,,23.91463647731862,59.329730300372034
0.004612,0.738685,28,27,EE,EEns6,,,EEns6,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10884180871092,59.313174323861375
0.015619,0.710377,29,28,EE,EEns7,,,EEns7,,,QU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.73320948175991,59.273795702839664
0.000752,0.153992,30,29,EE,EE0026,EE,26.0,EE26,EE,26.0,GLe3PZc5PZh5HSs5 [EE26],GLe,56.0,EE0026R0102,PZc,14.0,EE0076R1783,PZh,15.0,EE0002R1881,HSs,15.0,EE0026RR026,,,,,,,,,,,,,,,,,,,23.39114716560571,59.294083154932096
